ID,Date,Arrest,Community Area,Latitude,Longitude
9652789,6/14/2014 13:15,FALSE,11,41.97550321,-87.7588796
9652880,6/13/2014 23:30,FALSE,8,41.90066016,-87.6315007
9651878,6/10/2014 11:00,FALSE,8,41.9079332,-87.62715957
9648141,6/6/2014 17:00,FALSE,33,41.8460446,-87.62798738
9647918,6/10/2014 18:00,FALSE,60,41.83311168,-87.65360605
9646174,6/9/2014 20:00,FALSE,1,42.00152164,-87.66191558
9645865,6/5/2014 20:00,FALSE,28,41.88031447,-87.66462908
9643305,6/7/2014 16:00,FALSE,8,41.91113539,-87.62755411
9643014,6/4/2014 20:00,FALSE,5,41.93905622,-87.68546944
9643191,6/7/2014 8:30,FALSE,8,41.8907248,-87.63942864
9874811,11/29/2014 17:00,FALSE,6,,
9642167,6/5/2014 9:00,FALSE,6,41.93894143,-87.66543564
9639704,6/4/2014 19:00,FALSE,7,41.92917195,-87.65049618
9640509,6/4/2014 4:00,FALSE,73,41.7136041,-87.64044336
9636678,6/2/2014 19:00,FALSE,5,41.93349145,-87.67830408
9637161,6/3/2014 7:30,FALSE,24,41.89078147,-87.64245433
9635380,6/1/2014 18:45,FALSE,24,41.90401796,-87.69675969
9635263,6/2/2014 2:34,FALSE,2,41.99900122,-87.69983495
9635037,5/29/2014 16:30,FALSE,24,41.9125012,-87.67643929
9634905,6/1/2014 17:00,FALSE,8,41.89013969,-87.6303084
9634076,5/31/2014 20:00,FALSE,21,41.93316449,-87.70024799
9630564,5/23/2014 6:00,FALSE,32,41.87949478,-87.63390253
9630906,5/28/2014 22:00,FALSE,58,41.81705399,-87.69554894
9627491,5/25/2014 6:00,TRUE,35,41.8295551,-87.62900868
9624017,5/23/2014 13:00,FALSE,63,41.80101088,-87.69900886
9622945,5/22/2014 23:00,FALSE,60,41.8269706,-87.6422089
9622173,5/21/2014 22:00,FALSE,7,41.93094795,-87.64095531
9621328,5/21/2014 20:30,FALSE,75,41.67805397,-87.66263821
9621033,5/20/2014 12:00,FALSE,3,41.96808689,-87.65407412
9619591,5/18/2014 3:00,FALSE,5,41.93697765,-87.67608525
9618517,5/19/2014 19:00,TRUE,17,41.94495933,-87.77711025
9618511,5/19/2014 21:20,FALSE,76,41.97411558,-87.84505213
9617988,5/18/2014 23:00,FALSE,4,41.97609421,-87.69664186
9617958,5/18/2014 23:00,FALSE,67,41.78286241,-87.66929815
9613898,5/15/2014 15:00,FALSE,23,41.89476186,-87.72102319
9613532,5/13/2014 8:00,FALSE,4,41.98172059,-87.69925966
9608709,5/12/2014 9:00,FALSE,28,41.88846663,-87.64267025
9608564,5/12/2014 5:30,FALSE,49,41.7214832,-87.62516442
9606596,5/10/2014 12:00,FALSE,30,41.83879407,-87.70349826
9605003,5/8/2014 10:30,FALSE,25,41.87567103,-87.75290079
9604108,5/6/2014 16:30,FALSE,33,41.86604743,-87.62397145
9603771,5/7/2014 23:00,FALSE,24,41.90234107,-87.67006362
9600589,4/29/2014 7:30,FALSE,71,41.74408822,-87.64734909
9598005,5/4/2014 17:00,FALSE,8,41.90193673,-87.63338216
9597836,3/1/2014 19:00,FALSE,8,41.88914009,-87.61775538
9598535,4/22/2014 9:00,FALSE,22,41.91488139,-87.70505071
9595824,5/2/2014 18:30,FALSE,7,41.91623504,-87.65223604
9594406,4/28/2014 20:00,FALSE,31,41.85309565,-87.66770595
9588885,4/26/2014 22:00,FALSE,40,41.7863579,-87.61753914
9586099,4/24/2014 12:00,FALSE,8,41.91088891,-87.64207222
